---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Vac (nm)  |              Vac (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
     121.56699          |     121.5673644609     |         |  6.2649e+08| AAA  |    0.0000000000000     -     10.1988055020        |     1s - 2p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |     L12020  |
     121.56701          |     121.56700          |  840000 |  4.6986e+08| AAA  |    0.0000000000000     -     10.198835            |     1s - 2      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |     L12020  |
     121.5673123130200  |     121.5673123130200  |         |  2.495e-06 | AAA  |    0.0000000000000     -     10.1988098769057     |     1s - 2s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |  T7651 |     L12363  |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Air (nm)  |              Air (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |     365.51234          |         |  6.7464e+01| AAA  |   10.198835            -    [13.58993480]         |      2 - 40     |            |           |         |    |  T8637 |             |
                        |     365.55993          |         |  7.6576e+01| AAA  |   10.198835            -    [13.58949337]         |      2 - 39     |            |           |         |    |  T8637 |             |
                        |     365.61134          |         |  8.7206e+01| AAA  |   10.198835            -    [13.58901663]         |      2 - 38     |            |           |         |    |  T8637 |             |
     365.665            |     365.66698          |     700 |  9.9657e+01| AAA  |   10.198835            -    [13.58850072]         |      2 - 37     |            |           |         |    |  T8637 |   L7400c29  |
     365.725            |     365.72735          |     700 |  1.1430e+02| AAA  |   10.198835            -    [13.58794122]         |      2 - 36     |            |           |         |    |  T8637 |   L7400c29  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
     365.804            |     365.79299          |   700bl |  1.3161e+02| AAA  |   10.198835            -    [13.58733309]         |      2 - 35     |            |           |         |    |  T8637 |   L7400c29  |
     365.865            |     365.86453          |     700 |  1.5216e+02| AAA  |   10.198835            -    [13.58667051]         |      2 - 34     |            |           |         |    |  T8637 |   L7400c29  |
     365.941            |     365.94271          |     700 |  1.7669e+02| AAA  |   10.198835            -    [13.58594679]         |      2 - 33     |            |           |         |    |  T8637 |   L7400c29  |
     366.032            |     366.02836          |   700bl |  2.0612e+02| AAA  |   10.198835            -    [13.58515416]         |      2 - 32     |            |           |         |    |  T8637 |   L7400c29  |
     366.127            |     366.12250          |     800 |  2.4162e+02| AAA  |   10.198835            -    [13.58428359]         |      2 - 31     |            |           |         |    |  T8637 |   L7400c29  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
